"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FUCA2","ENSG00000001036",188.807634521001,1.12106421904957,0.388193600739879,2.88788224736407,0.00387845036302587,0.00864593418074392
"SEMA3F","ENSG00000001617",1152.4040077109,4.49440933868552,0.466121811667266,9.64110968257337,5.36053209434447e-22,1.58433905749975e-20
"LAP3","ENSG00000002549",1980.03547748213,1.18323902334403,0.177582045837483,6.66303285647395,2.68233663595146e-11,2.23388746134122e-10
"WNT16","ENSG00000002745",37.5924795802893,4.3616972756353,0.533535544726608,5.52611093983274,3.27407144337132e-08,1.76818414778719e-07
"HECW1","ENSG00000002746",275.380290809247,4.58663318579696,0.508225889450731,9.01795106012383,1.91639903197957e-19,4.34577149987377e-18
"TMEM176A","ENSG00000002933",49.1857446536589,2.24512601334421,0.457056838792835,4.90978999788443,9.11739773354253e-07,3.9190414833667e-06
"DBNDD1","ENSG00000003249",100.597780285213,2.67549653668897,0.456475404081768,5.85872075300357,4.66446270164503e-09,2.84945037875684e-08
"SLC7A2","ENSG00000003989",12.2777028996261,3.61402613303264,0.614708521412192,5.82806189718618,5.60747817479232e-09,3.38635127968204e-08
"CAMKK1","ENSG00000004660",468.234510392601,1.0575228190045,0.327124815983658,3.2327476033554,0.00122605834436735,0.00303132690049444
"HSPB6","ENSG00000004776",9.75641632748287,2.04287328733399,0.400721058799897,5.08765606413505,3.62516038134967e-07,1.66033860684365e-06
"ARHGAP33","ENSG00000004777",2597.85441358419,2.25082938364464,0.201439770986598,11.1736069503088,5.49050629191443e-29,3.19594131847146e-27
"NDUFAB1","ENSG00000004779",1472.77772079182,1.23049331569605,0.264783635984106,4.64714408026339,3.3656209985687e-06,1.32351098141274e-05
"PDK4","ENSG00000004799",143.084582862042,3.71566354323611,0.503236678572761,7.3786712214146,1.59877090202862e-13,1.78264379055753e-12
"ABCB5","ENSG00000004846",5.12293894143303,1.20681248068642,0.45225933868677,3.20309730527069,0.00135958034823955,0.00332691861565921
"SLC25A13","ENSG00000004864",474.077491893677,1.00732155587331,0.210517208008588,4.78492991044619,1.71047010744819e-06,7.03100584071663e-06
